contentID,URL,headline,author,cmsCategories,nl_category_structured,nl_category,,,,705
www.arkansasonline.com/news/2018/sep/06/latest-kavanaugh-email-disputes-roe-settled-law/,https://www.arkansasonline.com/news/2018/sep/06/latest-kavanaugh-email-disputes-roe-settled-law/,LATEST: Black caucus urges senators to reject Supreme Court nominee,The Associated Press   ,/News/National,"/News/Politics, /Law & Government/Government/Courts & Judiciary","/News/Politics, /Law & Government/Government/Courts & Judiciary",,,,
www.arkansasonline.com/news/2018/aug/10/robbed-phone-while-parking-lot-west-little-rock-ta/,https://www.arkansasonline.com/news/2018/aug/10/robbed-phone-while-parking-lot-west-little-rock-ta/,"Robbed of phone while in parking lot of west Little Rock Target, 55-year-old tells police",Jillian Kremer,"None/Lr, /News/Arkansas, /News/Arkansas/Crime",/Law & Government/Public Safety,/Law & Government/Public Safety,,,,
www.arkansasonline.com/news/2018/sep/21/6-justices-charged-over-griffen-case-20/,https://www.arkansasonline.com/news/2018/sep/21/6-justices-charged-over-griffen-case-20/,6 justices charged over Griffen case,John Moritz,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/aug/06/bonnin-transferring-texas-tech/,https://www.arkansasonline.com/news/2018/aug/06/bonnin-transferring-texas-tech/,Bonnin transferring to Texas Tech,Matt Jones,"/Sports/College/Razorbacks/Razorbacks-College-Baseball, /Sports/College/Razorbacks/Razobacks-College-Latest",/Sports/Team Sports/Baseball,/Sports/Team Sports/Baseball,,,,
www.arkansasonline.com/news/2018/aug/15/u-s-keep-reports-mom-seeks-veiled-20180/,https://www.arkansasonline.com/news/2018/aug/15/u-s-keep-reports-mom-seeks-veiled-20180/,U.S.: Keep reports mom seeks veiled,Linda Satter,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/sep/07/shelton-s-graft-role-sentence-is-6-year/,https://www.arkansasonline.com/news/2018/sep/07/shelton-s-graft-role-sentence-is-6-year/,Shelton's graft-role sentence is 6 years,Doug Thompson,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/aug/14/arkansan-woman-loses-control-vehicle-after-tire-bl/,https://www.arkansasonline.com/news/2018/aug/14/arkansan-woman-loses-control-vehicle-after-tire-bl/,"Arkansas woman loses control of vehicle after tire blows out, dies in crash",Jillian Kremer,"/News/Arkansas, /News/Arkansas/Northwest, /News/Fatalwrecks",,,,,,
www.arkansasonline.com/news/2018/sep/12/frontier-airlines-will-begin-nonstop-service-orlan/,https://www.arkansasonline.com/news/2018/sep/12/frontier-airlines-will-begin-nonstop-service-orlan/,Little Rock airport to offer new nonstop flight,Stephen Simpson,"None/Lr, /Business/Arkansas, /News/Arkansas",/Travel/Air Travel,/Travel/Air Travel,,,,
www.arkansasonline.com/news/2018/sep/23/a-cancer-on-the-court-20180923/,https://www.arkansasonline.com/news/2018/sep/23/a-cancer-on-the-court-20180923/,A cancer on the court,John Brummett,"/Editorial, /Editorial/Columns, /Editorial/Columns/Local",,,,,,
www.arkansasonline.com/news/2018/jul/04/lr-warehouse-businesses-now-new-estem-s/,https://www.arkansasonline.com/news/2018/jul/04/lr-warehouse-businesses-now-new-estem-s/,"LR warehouse, businesses now new eSTEM schools",Cynthia Howell,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/aug/24/ask-the-criminals-20180824/,https://www.arkansasonline.com/news/2018/aug/24/ask-the-criminals-20180824/,Ask the criminals,Dana D. Kelley,"/Editorial, /Editorial/Columns, /Editorial/Columns/Local",,,,,,
www.arkansasonline.com/news/2018/sep/19/trump-says-hard-imagine-kavanaugh-did-wrong-hillar/,https://www.arkansasonline.com/news/2018/sep/19/trump-says-hard-imagine-kavanaugh-did-wrong-hillar/,Trump says 'hard' to imagine Kavanaugh did wrong; Hillary Clinton calls for FBI probe,The Associated Press   ,"/News/National, /News/Politics/National",,,,,,
www.arkansasonline.com/news/2018/aug/31/authorities-3-little-rock-motorcycle-officers-invo/,https://www.arkansasonline.com/news/2018/aug/31/authorities-3-little-rock-motorcycle-officers-invo/,"PHOTOS: 3 Little Rock motorcycle officers involved in crash, authorities say; 2 hurt",Maggie McNeary,"None/Lr, /News/Arkansas",/Law & Government/Public Safety,/Law & Government/Public Safety,,,,
www.arkansasonline.com/news/2018/sep/05/proposed-casino-amendment-qualifies-arkansas-ballo/,https://www.arkansasonline.com/news/2018/sep/05/proposed-casino-amendment-qualifies-arkansas-ballo/,"Proposed casino amendment qualifies for Arkansas ballot, secretary of state says",Michael R. Wickline,"/News/Arkansas, None/Zballot18",,,,,,
